provincia,a_2015,a_2016,a_2017
Buenos Aires,16659931,16841135,17020012
Catamarca,396895,400678,404433
Chaco,1143201,1155723,1168165
Chubut,566922,577466,587956
Ciudad Autónoma de Buenos Aires,3054267,3059122,3063728
Córdoba,3567654,3606540,3645321
Corrientes,1070283,1080655,1090938
Entre Ríos,1321415,1334489,1347508
Formosa,579250,584614,589916
Jujuy,727780,736542,745252
La Pampa,343056,346191,349299
La Rioja,367728,372879,378047
Mendoza,1885551,1907045,1928304
Misiones,1189446,1204182,1218771
Neuquén,619745,628897,637913
Río Negro,698874,708799,718646
Salta,1333365,1351878,1370283
San Juan,738959,747488,755994
San Luis,476351,482796,489225
Santa Cruz,320469,329499,338542
Santa Fe,3397532,3425656,3453674
Santiago del Estero,928097,938109,948172
Tierra del Fuego,152317,156509,160720
Tucumán,1592878,1613476,1633992