Campus Name,CCSF Entity,Lower Grade,Upper Grade,Grade Range,Category,Map Label,Lower Age,Upper Age,General Type,CDS Code,Campus Address,Supervisor District,County FIPS,County Name,Location 1,Neighborhoods (old),Zip Codes,Fire Prevention Districts,Police Districts,Supervisor Districts
Little Angels Daycare,Private,-2,-1,PK,Independent / Private,CDC074,3,4,CDC,,"2135 OCEAN AVE, SAN FRANCISCO, CA 94127",7,06075,SAN FRANCISCO,"CA
(37.726673, -122.466423)",40,59,9,8,4
Amici World School,Private,1,6,1-6,Independent / Private,IND210,6,11,IND,,"3627 BRODERICK ST, SAN FRANCISCO, CA 94123",2,06075,SAN FRANCISCO,"CA
(37.803875, -122.445717)",17,57,13,9,1
"Burton, Phillip And Sala Burton High School",SFUSD,9,12,9-12,USD Grades 9-12,PS011,14,17,PS,38684783830254,"400 MANSELL ST, San Francisco, CA 94134",9,06075,SAN FRANCISCO,"CA
(37.721546, -122.406555)",28,309,10,3,7
City College of San Francisco Civic Center,SFCCD,13,14,13-14,Community College District,CC02,18,19,CC,,"1170 MARKET ST, SAN FRANCISCO, CA 94102",6,06075,SAN FRANCISCO,"CA
(37.779545, -122.414299)",36,28852,7,10,9
"Washington, George Washington High School",SFUSD,9,12,9-12,USD Grades 9-12,PS121,14,17,PS,38684783839081,"600 32ND AVE, San Francisco, CA 94121",1,06075,SAN FRANCISCO,"CA
(37.777905, -122.491013)",26,55,11,6,2
Big City Montessori School,Private,-2,0,PK-K,Independent / Private,IND215,3,5,IND,380503028,"240 INDUSTRIAL ST, SAN FRANCISCO, CA 94124",10,06075,SAN FRANCISCO,"CA
(37.738655, -122.405312)",1,58,10,3,8
Buena Vista / Horace Mann,SFUSD,0,8,K-8,USD Grades K-8,PS010,5,13,PS,38684786062046,"3351 23RD ST, San Francisco, CA 94110",9,06075,SAN FRANCISCO,"CA
(37.753033, -122.420181)",19,28859,2,4,7
Alta Plaza Preschool,Private,-2,-1,PK,Independent / Private,CDC002,3,4,CDC,384000037,"2140 PIERCE ST, SAN FRANCISCO, CA 94115",2,06075,SAN FRANCISCO,"CA
(37.790203, -122.437195)",27,29490,13,6,1
Glenridge Cooperative Nursery School,Private,-2,-1,PK,Independent / Private,CDC044,3,4,CDC,380500240,"70 ELK ST, SAN FRANCISCO, CA 94131",8,06075,SAN FRANCISCO,"CA
(37.736191, -122.440033)",7,63,2,7,5
Guadalupe Elementary School,SFUSD,-2,5,PK-5,USD PreK-5,PS042,3,10,PS,38684786041123,"859 PRAGUE ST, San Francisco, CA 94112",11,06075,SAN FRANCISCO,"CA
(37.710182, -122.434029)",5,28861,9,7,6
Telegraph Hill Neighborhood Center Child Development Preschool,Private,-2,-1,PK,Independent / Private,CDC145,3,4,CDC,380504793,"660 LOMBARD ST, SAN FRANCISCO, CA 94133",3,06075,SAN FRANCISCO,"CA
(37.803444, -122.412537)",23,308,3,1,10
"Cobb, Dr. William L. Cobb Elementary School / Preschool",SFUSD,-2,5,PK-5,USD PreK-5,PS022,3,10,PS,38684786040968,"2725 CALIFORNIA ST, San Francisco, CA 94115",2,06075,SAN FRANCISCO,"CA
(37.787678, -122.439552)",27,29490,13,6,1
Alamo Elementary School,SFUSD,0,5,K-5,USD Grades K-5,PS001,5,10,PS,38684786040695,"250 23RD AVE, San Francisco, CA 94121",1,06075,SAN FRANCISCO,"CA
(37.783005, -122.4823)",26,55,11,6,2
Pacific Primary - Yellow Sun School,Private,-2,-1,PK,Independent / Private,CDC119,3,4,CDC,380500491,"1500 GROVE ST, SAN FRANCISCO, CA 94117",5,06075,SAN FRANCISCO,"CA
(37.775658, -122.441734)",16,29492,15,5,11
"Stockton, Commodore Stockton Early Education School",SFUSD,-2,4,PK-4,USD PreK/TK-4,PS110,3,9,PS,38684780117465,"1 TRENTON ST, San Francisco, CA 94108",3,06075,SAN FRANCISCO,"CA
(37.795082, -122.40908)",4,28857,3,1,10
Kai Ming Head Start - Sunset Center,Private,-2,-1,PK,Independent / Private,CDC064,3,4,CDC,384001393,"2800 TARAVAL ST, SAN FRANCISCO, CA 94116",4,06075,SAN FRANCISCO,"CA
(37.742394, -122.496277)",35,29491,1,8,3
Kai Ming Head Start - Tkl Center (Dr T Kong Lee),Private,-2,-1,PK,Independent / Private,CDC065,3,4,CDC,380505563,"952 POWELL ST, SAN FRANCISCO, CA 94108",3,06075,SAN FRANCISCO,"CA
(37.79372, -122.409294)",4,28857,3,1,10
Glen Park Elementary School,SFUSD,0,5,K-5,USD Grades K-5,PS040,5,10,PS,38684786041073,"151 LIPPARD AVE, San Francisco, CA 94131",8,06075,SAN FRANCISCO,"CA
(37.733131, -122.435623)",40,63,9,7,5
Economic Opportunity Council Sf - Sojourner Truth Childcare,Private,-2,-1,PK,Independent / Private,CDC033,3,4,CDC,380504346,"1 CASHMERE ST, SAN FRANCISCO, CA 94124",10,06075,SAN FRANCISCO,"CA
(37.735832, -122.381874)",1,58,10,3,8
"Stevenson, Robert Louis Stevenson Elementary School",SFUSD,0,5,K-5,USD Grades K-5,PS109,5,10,PS,38684786041529,"2051 34TH AVE, San Francisco, CA 94116",4,06075,SAN FRANCISCO,"CA
(37.748844, -122.49276)",35,29491,1,8,3
Bright Horizons - Kansas St,Private,-2,4,PK-4,Independent / Private,IND218,3,9,IND,384002477,"200 KANSAS ST, SAN FRANCISCO, CA 94103",10,06075,SAN FRANCISCO,"CA
(37.766731, -122.404213)",20,28853,8,2,8
"Taylor, E. R. Taylor Elementary School / Preschool",SFUSD,-2,5,PK-5,"USD PreK, Grades K-5",PS114,3,10,PS,38684786040943,"423 BURROWS ST, San Francisco, CA 94134",9,06075,SAN FRANCISCO,"CA
(37.727329, -122.40731)",28,309,10,3,7
Second Community Child Care Center,Private,0,5,K-5,Independent / Private,IND325,5,10,IND,380505027,"500 CLARENDON AVE, SAN FRANCISCO, CA 94131",7,06075,SAN FRANCISCO,"CA
(37.753712, -122.456131)",12,63,1,5,4
"Ortega, Jose Ortega Elementary School",SFUSD,0,5,K-5,USD Grades K-5,PS087,5,10,PS,38684786041271,"400 SARGENT ST, San Francisco, CA 94132",11,06075,SAN FRANCISCO,"CA
(37.716782, -122.466675)",24,64,9,8,6
Redding Elementary / Early Education,SFUSD,0,5,K-5,USD Grades K-5,PS093,5,10,PS,38684786041511,"1421 PINE ST, San Francisco, CA 94109",3,06075,SAN FRANCISCO,"CA
(37.78952, -122.41925)",21,28858,13,9,10
Scandanavian School,Private,-2,-1,PK,Independent / Private,CDC134,3,4,CDC,384001418,"20 WOODSIDE AVE, SAN FRANCISCO, CA 94127",7,06075,SAN FRANCISCO,"CA
(37.746582, -122.457878)",40,59,1,5,4
Wind In The Willows Early Learning Center,Private,-2,-1,PK,Independent / Private,CDC155,3,4,CDC,384000832,"713 MONTEREY BLVD, SAN FRANCISCO, CA 94127",7,06075,SAN FRANCISCO,"CA
(37.731258, -122.451462)",40,59,9,7,4
Telegraph Hill Parent Participation Nursery School,Private,-2,-1,PK,Independent / Private,CDC146,3,4,CDC,384002580,"922 JACKSON ST, SAN FRANCISCO, CA 94133",3,06075,SAN FRANCISCO,"CA
(37.795681, -122.410377)",4,308,3,1,10
Rocky Mountain Participation Nursery School,Private,-2,-1,PK,Independent / Private,CDC127,3,4,CDC,380504057,"2475 15TH ST, SAN FRANCISCO, CA 94114",7,06075,SAN FRANCISCO,"CA
(37.74184, -122.471603)",40,29491,1,8,4
Moldovan Academy,Private,-2,0,PK-K,Independent / Private,IND275,3,5,IND,384002294,"1270 SANCHEZ ST, SAN FRANCISCO, CA 94114",8,06075,SAN FRANCISCO,"CA
(37.748898, -122.42968)",22,28862,2,4,5
Ucsf - Parnassus-Kirkham Child Development Center,Private,-2,-1,PK,Independent / Private,CDC150,3,4,CDC,384001814,"10 KIRKHAM ST, SAN FRANCISCO, CA 94143",5,06075,SAN FRANCISCO,"CA
(37.761524, -122.461166)",12,56,15,5,11
Saint Nicholas Day Care And Preschool,Private,-2,-1,PK,Independent / Private,CDC132,3,4,CDC,380504369,"5200 DIAMOND HEIGHTS BLVD, SAN FRANCISCO, CA 94131",8,06075,SAN FRANCISCO,"CA
(37.744923, -122.440422)",7,63,2,7,5
International Studies Academy,SFUSD,6,12,6-12,USD Grades 6-12,PS050,11,17,PS,38684783830353,"655 DE HARO ST, SAN FRANCISCO CA 94107",10,06075,SAN FRANCISCO,"CA
(37.761704, -122.400688)",29,28856,10,3,8
Everett Middle School,SFUSD,6,8,6-8,USD Grades 6-8,PS029,11,13,PS,38684786062038,"450 CHURCH ST, San Francisco, CA 94114",8,06075,SAN FRANCISCO,"CA
(37.763577, -122.429367)",3,28862,8,4,5
My Little Learning Tree,Private,-2,-1,PK,Independent / Private,CDC111,3,4,CDC,384002056,"2118 CLEMENT ST, SAN FRANCISCO, CA 94121",1,06075,SAN FRANCISCO,"CA
(37.782394, -122.482086)",26,55,11,6,2
San Francisco Waldorf High School,Private,9,12,9-12,Independent / Private,IND322,14,17,IND,,"470 WEST PORTAL AVE, SAN FRANCISCO, CA 94127",7,06075,SAN FRANCISCO,"CA
(37.736015, -122.471199)",40,29491,1,8,4
Family School,Private,-2,-1,PK,Independent / Private,CDC039,3,4,CDC,384000805,"3101 MISSION ST, SAN FRANCISCO, CA 94110",9,06075,SAN FRANCISCO,"CA
(37.747994, -122.418137)",2,28859,2,7,7
Mission Neighborhood Centers - Edificio De Mujeres / Womens Building,Private,-2,-1,PK,Independent / Private,CDC101,3,4,CDC,384000867,"3543 18TH ST, SAN FRANCISCO, CA 94110",8,06075,SAN FRANCISCO,"CA
(37.761421, -122.422615)",19,28859,2,4,5
Adda Clevenger School,Private,0,8,K-8,Independent / Private,IND200,5,13,IND,38684786930572,"198 FAIR OAKS ST, SAN FRANCISCO, CA 94110",8,06075,SAN FRANCISCO,"CA
(37.753738, -122.424461)",19,28859,2,4,5
Faces Sf Child Development Program - Hayes Valley,Private,-2,-1,PK,Independent / Private,CDC038,3,4,CDC,384002202,"305 BUCHANAN ST, SAN FRANCISCO, CA 94102",5,06075,SAN FRANCISCO,"CA
(37.772907, -122.428032)",10,28852,7,9,11
Walden Academy,Private,8,12,8-12,Independent / Private,IND335,13,17,IND,,"214 HAIGHT ST, SAN FRANCISCO, CA 94102",5,06075,SAN FRANCISCO,"CA
(37.772942, -122.426147)",10,28852,7,9,11
San Francisco Expeditionary School,Private,3,8,3-8,Independent / Private,IND315,8,13,IND,38684786147037,"2960 BROADWAY ST, SAN FRANCISCO, CA 94115",2,06075,SAN FRANCISCO,"CA
(37.793186, -122.445892)",27,57,13,9,1
Little Childrens Developmental Center,Private,-2,-1,PK,Independent / Private,CDC076,3,4,CDC,384000818,"1223 WEBSTER ST, SAN FRANCISCO, CA 94115",5,06075,SAN FRANCISCO,"CA
(37.781956, -122.431045)",41,29490,15,9,11
Montessori Childrens Center,Private,-2,-1,PK,Independent / Private,CDC107,3,4,CDC,384001313,"80 JUAN BAUTISTA CIR, SAN FRANCISCO, CA 94132",7,06075,SAN FRANCISCO,"CA
(37.718266, -122.480911)",14,64,1,8,4
"Carmichael, Bessie Carmichael K-5 Campus / Early Education",SFUSD,0,8,K-8,USD Grades K-8,PS013,5,13,PS,384001456,"375 07TH ST, San Francisco, CA 94103",6,06075,SAN FRANCISCO,"CA
(37.776382, -122.406456)",34,28853,14,2,9
Holy Family Day Home,Private,-2,-1,PK,Independent / Private,CDC054,3,4,CDC,380500308,"299 DOLORES ST, SAN FRANCISCO, CA 94103",8,06075,SAN FRANCISCO,"CA
(37.764992, -122.425796)",19,28853,8,4,5
Saint Gabriel Catholic School,Private,0,8,K-8,Independent / Private,IND295,5,13,IND,38684786981765,"2550 41ST AVE, SAN FRANCISCO, CA 94116",4,06075,SAN FRANCISCO,"CA
(37.739563, -122.498634)",35,29491,1,8,3
"Lincoln, Abraham Lincoln High School",SFUSD,9,12,9-12,USD Grades 9-12,PS067,14,17,PS,38684783833241,"2162 24TH AVE, San Francisco, CA 94116",4,06075,SAN FRANCISCO,"CA
(37.746594, -122.48024)",35,29491,1,8,3
Love And Learn Nursery School,Private,-2,-1,PK,Independent / Private,CDC084,3,4,CDC,380503540,"1419 HOWARD ST, SAN FRANCISCO, CA 94103",6,06075,SAN FRANCISCO,"CA
(37.77335, -122.414795)",34,28853,8,2,9
"Havard, Leola M. Havard Early Education School",SFUSD,-2,5,PK-5,USD PreK/TK-5,PS044,3,10,PS,38684780117564,"1520 OAKDALE AVE, SAN FRANCISCO CA 94124",10,06075,SAN FRANCISCO,"CA
(37.734085, -122.388588)",1,58,10,3,8
City College of San Francisco Fort Mason Site,SFCCD,13,14,13-14,Community College District,CC05,18,19,CC,,"2 MARINA BLVD, SAN FRANCISCO, CA 94123",2,06075,SAN FRANCISCO,"CA
(37.80677, -122.431824)",17,28858,13,9,1
Chinatown Community Childrens Center,Private,-2,-1,PK,Independent / Private,CDC013,3,4,CDC,380505035,"979 CLAY ST, SAN FRANCISCO, CA 94108",3,06075,SAN FRANCISCO,"CA
(37.79361, -122.409103)",4,28857,3,1,10
Balboa Preschool,Private,-2,0,PK-K,Independent / Private,IND213,3,5,IND,380505671,"527 BALBOA ST, SAN FRANCISCO, CA 94118",1,06075,SAN FRANCISCO,"CA
(37.776932, -122.464477)",11,54,11,6,2
Marina Childrens Center,Private,-2,-1,PK,Independent / Private,CDC093,3,4,CDC,384000897,"3219 LAGUNA ST, SAN FRANCISCO, CA 94123",2,06075,SAN FRANCISCO,"CA
(37.800774, -122.431488)",17,57,13,9,1
"Rodriguez, Zaida T. Rodriguez Early Education School",SFUSD,-2,0,PK-TK,USD PreK/TK,PS095,3,5,PS,380504356,"421 BARTLETT ST, San Francisco, CA 94110",9,06075,SAN FRANCISCO,"CA
(37.749821, -122.418556)",19,28859,2,4,7
Kai Ming Head Start - Geary Center,Private,-2,-1,PK,Independent / Private,CDC060,3,4,CDC,384001291,"6221 GEARY BLVD, SAN FRANCISCO, CA 94121",1,06075,SAN FRANCISCO,"CA
(37.77972, -122.486191)",26,55,11,6,2
"King, Dr. Martin Luther King Jr. Middle School",SFUSD,6,8,6-8,USD Grades 6-8,PS055,11,13,PS,38684786059885,"350 GIRARD ST, San Francisco, CA 94134",9,06075,SAN FRANCISCO,"CA
(37.727741, -122.405807)",28,309,10,3,7
San Francisco Christian School,Private,0,12,K-12,Independent / Private,IND312,5,17,IND,38684786980692,"25 WHITTIER ST, SAN FRANCISCO, CA 94112",11,06075,SAN FRANCISCO,"CA
(37.710037, -122.447754)",5,28861,9,7,6
Cross Cultural Family Center - Bertha E Flemming Center,Private,-2,-1,PK,Independent / Private,CDC022,3,4,CDC,380504073,"1901 OFARRELL ST, SAN FRANCISCO, CA 94115",5,06075,SAN FRANCISCO,"CA
(37.782711, -122.436233)",41,29490,15,5,11
Little Bear School,Private,-2,-1,PK,Independent / Private,CDC075,3,4,CDC,384001397,"65 OCEAN AVE, SAN FRANCISCO, CA 94112",11,06075,SAN FRANCISCO,"CA
(37.723179, -122.438095)",25,28861,9,7,6
Everyday Magic Child Development Center,Private,-2,-1,PK,Independent / Private,CDC036,3,4,CDC,380506320,"220 MIDDLEFIELD DR, SAN FRANCISCO, CA 94132",7,06075,SAN FRANCISCO,"CA
(37.730572, -122.485817)",14,64,1,8,4
Alta Vista School,Private,0,5,K-5,Independent / Private,IND209,5,10,IND,38684786140099,"413 SOMERSET ST, SAN FRANCISCO, CA 94134",9,06075,SAN FRANCISCO,"CA
(37.726391, -122.407196)",28,309,10,3,7
Golden Bridges School,Private,-2,0,PK-K,Independent / Private,IND246,3,5,IND,38684786145635,"3358 22ND ST, SAN FRANCISCO, CA 94110",8,06075,SAN FRANCISCO,"CA
(37.755467, -122.42231)",19,28859,2,4,5
Creative Arts Charter School,SFUSD,0,8,K-8,USD Charter School,PS023,5,13,PS,38684786112601,"1601 TURK ST, San Francisco, CA 94115",5,06075,SAN FRANCISCO,"CA
(37.779804, -122.436073)",41,29490,15,5,11
Laurel Hill Nursery School,Private,-2,-1,PK,Independent / Private,CDC072,3,4,CDC,380504783,"401 EUCLID AVE, SAN FRANCISCO, CA 94118",2,06075,SAN FRANCISCO,"CA
(37.783798, -122.452728)",31,54,15,6,1
Phoebe A Hearst Learning Center,Private,-2,-1,PK,Independent / Private,CDC122,3,4,CDC,380500512,"1315 ELLIS ST, SAN FRANCISCO, CA 94114",5,06075,SAN FRANCISCO,"CA
(37.782681, -122.427948)",41,29490,7,9,11
Marin Day School - Market Street,Private,-4,-2,INF,Independent / Private,CDC090,1,3,CDC,384001297,"1390 MARKET ST, STE 108, SAN FRANCISCO, CA 94102",6,06075,SAN FRANCISCO,"CA
(37.777226, -122.417358)",36,28852,7,9,9
Treasure Island Child Development Center,Private,-2,-1,PK,Independent / Private,CDC147,3,4,CDC,384002011,"850 AVE D, SAN FRANCISCO, CA 94130",6,06075,SAN FRANCISCO,"CA
(37.825985, -122.372505)",37,62,,2,9
Saint Anthony - Immaculate Conception School,Private,0,8,K-8,Independent / Private,IND289,5,13,IND,38684786981666,"295 PRECITA AVE, SAN FRANCISCO, CA 94110",9,06075,SAN FRANCISCO,"CA
(37.747536, -122.414223)",2,28859,2,7,7
Starlight Christian Preschool 2,Private,-2,-1,PK,Independent / Private,CDC139,3,4,CDC,384001536,"3155 VICENTE ST, SAN FRANCISCO, CA 94116",4,06075,SAN FRANCISCO,"CA
(37.738022, -122.500977)",35,29491,1,8,3
"Webster, Daniel Webster Elementary School",SFUSD,6,12,6-12,USD Grades 6-12,PS122,11,17,PS,38684786040893,"655 DE HARO ST, SAN FRANCISCO CA 94107",10,06075,SAN FRANCISCO,"CA
(37.762009, -122.400772)",29,28856,10,3,8
Oakes Childrens Center,Private,0,8,K-8,Independent / Private,IND279,5,13,IND,38684786981534,"1550 TREAT AVE, SAN FRANCISCO, CA 94110",9,06075,SAN FRANCISCO,"CA
(37.74593, -122.412697)",2,28859,2,7,7
Sunset Cooperative Nursery School,Private,-2,-1,PK,Independent / Private,CDC141,3,4,CDC,384002119,"4245 LAWTON ST, SAN FRANCISCO, CA 94122",4,06075,SAN FRANCISCO,"CA
(37.756386, -122.508499)",35,56,1,8,3
Laurel School,Private,0,8,K-8,Independent / Private,IND262,5,13,IND,,"350 09TH AVE, SAN FRANCISCO, CA 94118",1,06075,SAN FRANCISCO,"CA
(37.781941, -122.467331)",11,54,11,6,2
Wu Yee Child Development Center - Westside,Private,-2,-1,PK,Independent / Private,CDC167,3,4,CDC,384002531,"2400 POST ST, SAN FRANCISCO, CA 94115",5,06075,SAN FRANCISCO,"CA
(37.784466, -122.442268)",13,29490,15,6,11
De Marillac Academy,Private,4,8,4-8,Independent / Private,IND235,9,13,IND,38684787104466,"175 GOLDEN GATE AVE, SAN FRANCISCO, CA 94102",6,06075,SAN FRANCISCO,"CA
(37.781658, -122.413345)",36,28852,7,10,9
San Francisco Waldorf School,Private,-2,8,PK-8,Independent / Private,IND323,3,13,IND,38684786907927,"2938 WASHINGTON ST, SAN FRANCISCO, CA 94115",2,06075,SAN FRANCISCO,"CA
(37.790783, -122.44191)",27,29490,13,6,1
Ecole Notre Dame Des Victoires,Private,0,8,K-8,Independent / Private,IND238,5,13,IND,38684786981500,"659 PINE ST, SAN FRANCISCO, CA 94108",3,06075,SAN FRANCISCO,"CA
(37.791115, -122.406464)",6,28857,5,1,10
Grattan Elementary / Early Education,SFUSD,-2,5,PK-5,"USD PreK-4, Grades K-5",PS041,3,10,PS,38684786041115,"165 GRATTAN ST, San Francisco, CA 94117",5,06075,SAN FRANCISCO,"CA
(37.763493, -122.450424)",9,29492,15,5,11
"Hoover, Herbert Hoover Middle School",SFUSD,6,8,6-8,USD Grades 6-8,PS048,11,13,PS,38684786059851,"2290 14TH AVE, San Francisco, CA 94116",7,06075,SAN FRANCISCO,"CA
(37.745556, -122.468964)",40,29491,1,8,4
Chibi Chan Preschool,Private,-2,-1,PK,Independent / Private,CDC012,3,4,CDC,384000923,"2012 PINE ST, SAN FRANCISCO, CA 94115",5,06075,SAN FRANCISCO,"CA
(37.788784, -122.429291)",27,29490,13,9,11
Presidio Hill School,Private,-2,8,PK-8,Independent / Private,IND283,3,13,IND,38684786205652,"3839 WASHINGTON ST, SAN FRANCISCO, CA 94118",2,06075,SAN FRANCISCO,"CA
(37.788582, -122.456062)",31,54,11,6,1
Hearing & Speech Center Of Northern California,Private,-2,0,PK-K,Independent / Private,IND248,3,5,IND,38684786980700,"1234 DIVISADERO ST, SAN FRANCISCO, CA 94115",5,06075,SAN FRANCISCO,"CA
(37.781174, -122.438728)",41,29490,15,5,11
Starlight Christian Preschool 1,Private,-2,-1,PK,Independent / Private,CDC138,3,4,CDC,384001339,"750 26TH AVE, SAN FRANCISCO, CA 94121",1,06075,SAN FRANCISCO,"CA
(37.775311, -122.484924)",26,55,11,6,2
Mission Neighborhood Centers - Valencia Gardens,Private,-2,-1,PK,Independent / Private,CDC106,3,4,CDC,384001634,"380 VALENCIA ST, SAN FRANCISCO, CA 94103",8,06075,SAN FRANCISCO,"CA
(37.767098, -122.423202)",19,28853,8,4,5
Lakeshore Elementary School,SFUSD,0,5,K-5,USD Grades K-5,PS059,5,10,PS,38684786041321,"220 MIDDLEFIELD DR, San Francisco, CA 94132",7,06075,SAN FRANCISCO,"CA
(37.730324, -122.48542)",14,64,1,8,4
Life Learning Academy Charter School,SFUSD,9,12,9-12,USD Charter School,PS064,14,17,PS,38684783830429,"651 8TH TI ST, SAN FRANCISCO, CA 94130",6,06075,SAN FRANCISCO,"CA
(37.825512, -122.367996)",37,62,,2,9
German International School Of Silicon Valley - San Francisco Campus,Private,0,8,K-8,Independent / Private,IND245,5,13,IND,38684786148308,"4 FUNSTION AVE, SAN FRANCISCO, CA 94129",2,06075,SAN FRANCISCO,"CA
(37.800007, -122.455566)",30,61,11,,1
Marina Middle School,SFUSD,6,8,6-8,USD Grades 6-8,PS071,11,13,PS,38684786062061,"3500 FILLMORE ST, San Francisco, CA 94123",2,06075,SAN FRANCISCO,"CA
(37.801827, -122.435478)",17,57,13,9,1
